JobTitle,Company,Location,PostDate,Summary,JobUrl
"Team Lead, Service Desk",Ledcor,"Remote in Calgary, AB
+2 locations","Posted
Today","You will also identify opportunities for overall system efficiency, process improvements and proactive approach to problem solving through reporting and data…",https://ca.indeed.com/rc/clk?jk=dd6f37ecc175f51b&fccid=858565e37a126a9f&vjs=3
Business Strategy & Analytics Intern,MLSE,"Toronto, ON","Posted
Posted 1 day ago","Previous research and analysis experience including modeling and analytics are an asset.
Support the design, creation, and analysis of fan surveys in…",https://ca.indeed.com/rc/clk?jk=3d42d43ceb4c39ae&fccid=608c8688fdbf21ee&vjs=3
"Manager, Data Model, Business Planning & Analysis",Scotiabank,"Toronto, ON","Posted
Posted 9 days ago",Support the expansion of existing data architecture and the optimization of data query performance via best practices.,https://ca.indeed.com/rc/clk?jk=c767602c799e4142&fccid=3002307a9e5b4706&vjs=3
Data Warehouse Analyst,Remco,"Mississauga, ON","Posted
Posted 24 days ago","Able to work with database systems and perform analysis.
Understand data, and workflow processes, interfaces with other systems, internal and external data…",https://ca.indeed.com/rc/clk?jk=98862e77630f29d5&fccid=d4a90230f685b285&vjs=3
Project and Operations Manager,Deloitte,"Toronto, ON","Posted
Posted 20 days ago","Experience with data-centric project delivery is an advantage.
You have strong interpersonal skills and have a demonstrated ability to work with nuanced data…",https://ca.indeed.com/rc/clk?jk=68745a5918beee4a&fccid=9e215d88a6b33622&vjs=3
"Data Analyst, Business Intelligence",Bell Canada,"Montréal, QC","Posted
Posted 30+ days ago","Data analysis and model validation.
Skill-set base analysis to identify gaps/surplus and make skilling recommendations balancing service and cost;",https://ca.indeed.com/rc/clk?jk=5ecee8262f75bc2d&fccid=0539c14774e3fbb6&vjs=3
Financial Analyst I - Financial Planning & Analysis (20 Mont...,Best Buy,"Headquarters, BC","Posted
Posted 16 days ago","Proven experience with Excel, financial analysis, and financial planning.
Bring business meaning to financials by synthesizing financial data, and identifying…",https://ca.indeed.com/rc/clk?jk=e16f99dad78768d3&fccid=027d7cca25a5d14f&vjs=3
Signal Processing Specialist,DATACLOUD,"Remote in Vancouver, BC","Posted
Posted 30+ days ago","Processing and quantitatively analyzing data from multiple sensor modalities.
Participating in design and execution of field tests for data collection and…",https://ca.indeed.com/rc/clk?jk=69721ec3b2a8fdd8&fccid=c101d2f34386322e&vjs=3
"Procurement Specialist, Nova Scotia Food Program (Program Ad...",Province of Nova Scotia,"Halifax, NS","Posted
Posted 9 days ago","Business case analysis capabilities to determine costs and benefits, including total cost of ownership analysis;
Responsible management of public resources;",https://ca.indeed.com/rc/clk?jk=26a37111228a2649&fccid=76b2daf26bb1853b&vjs=3
IT Data Analyst III,TD Bank,"Toronto, ON","Posted
Posted 2 days ago","CUSTOMER: Provide a broad range of data analysis and assess data management requirements for specific data platforms, applications systems, servers aligned to…",https://ca.indeed.com/rc/clk?jk=a5a4eaa1e1d96775&fccid=d7114f1cac8d0711&vjs=3
Tableau Data Analyst,J.D. Power,"Remote in London, ON","Posted
Posted 30+ days ago","Ad-hoc data analysis and reporting.
Own your own data analysis projects from the research phase to production.
Experience working with automotive data.",https://ca.indeed.com/rc/clk?jk=e9df2d8af02157d1&fccid=e6d683aa9f2c173a&vjs=3
Data Scientist,Manulife,"Toronto, ON","Posted
Posted 13 days ago","Innovate and find creative ways to source customer data to support modeling efforts, applying structured and unstructured data using Big Data technologies and…",https://ca.indeed.com/rc/clk?jk=d4d93f876223ab59&fccid=1747adf6142beb48&vjs=3
Senior Data Analyst,BCLC,"Remote in Kamloops, BC","Posted
Posted 13 days ago","Strong data analysis and data modeling skills;
The Senior Data Analyst maintains current data workloads on-premises and be integral to transitioning data…",https://ca.indeed.com/rc/clk?jk=001593a3d8777d78&fccid=f8d1881f9cd6792e&vjs=3
"Manager, AML Data Management",Royal Bank of Canada,"Toronto, ON","Posted
Posted 30+ days ago",Perform data profiling and analysis of data sources to assess data availability and ensure AML data requirements are continually satisfied.,https://ca.indeed.com/rc/clk?jk=3ffd1bec0380cb00&fccid=537b899e30af3338&vjs=3
Real World Data Expansion Analyst,Sanofi US,"Toronto, ON","Posted
Posted 30+ days ago","Scope data access strategy for real world healthcare and non-healthcare data to meet Sanofi strategic objectives.
Ability to understand business needs.",https://ca.indeed.com/rc/clk?jk=65768ea868886194&fccid=5d3ed74ca4598964&vjs=3
Research Analyst Intern - Summer 2023,"The Brattle Group, Inc.","Toronto, ON","Posted
Posted 28 days ago","Undergraduates working towards a Bachelor’s degree in a quantitative discipline (e.g. economics, math, finance, engineering, data science, etc.) with strong…",https://ca.indeed.com/rc/clk?jk=d5bae0f9efd6769e&fccid=4867f0e75c4d6ed6&vjs=3
Data Science Specialist,Celestica,"Toronto, ON","Posted
Posted 30+ days ago","Data Pipeline: Gather required data, organize and manage the data, clean and prepare for modelling.
Story Telling: Develop dashboards and recurring reports to…",https://ca.indeed.com/rc/clk?jk=2105cce5dd92cc0c&fccid=e7e593a18b26fee3&vjs=3
Applied Scientist - Inference and Metrics (Remote),Yelp,"Remote in Toronto, ON
+2 locations","Posted
Posted 30+ days ago","Experience with data analysis/statistical software and packages (pandas/statsmodels/sklearn within Python, R, etc.).",https://ca.indeed.com/rc/clk?jk=b824a883fa4e55a5&fccid=0e94073a1c937bd1&vjs=3
Data Warehouse Analyst,Laurentian Bank,"Toronto, ON","Posted
Posted 30+ days ago","º Responsible for supporting ETL data pipelines developed in various data warehouses.
º Support daily/weekly/monthly Data Warehouse processes and diagnose…",https://ca.indeed.com/rc/clk?jk=35037a827f0059e8&fccid=af614bc43ec65114&vjs=3
Health Data Analyst,Chatham-Kent,"Remote in Chatham-Kent, ON","Posted
Posted 30+ days ago",Participates as a member of a multidisciplinary team and maintains data management and statistical analysis competence through ongoing professional development.,https://ca.indeed.com/rc/clk?jk=3d8d03f1ae55e5d5&fccid=4d6ed0d0931cbf26&vjs=3
Project Management Officer,Public Services and Procurement Canada,"Remote in Ottawa, ON","Posted
Posted 2 days ago","➨ EX2: Recent experience* in manipulating, extracting, and interpreting financial and/or project data, and preparing related reports.",https://ca.indeed.com/rc/clk?jk=d9308c13d8f8ebbb&fccid=5a173c067166ed66&vjs=3
Real World Evidence Scientist 2023 Intern,Johnson & Johnson,"Toronto, ON","Posted
Posted 30+ days ago","Basic understanding of Canadian health data such as electronic health record, administrative data, and claims data would be an asset.",https://ca.indeed.com/rc/clk?jk=b1ca7bdf448f1f92&fccid=0bed8e17bc113980&vjs=3
Sr QA Analyst - Data,Absorb Software,Remote,"Posted
Posted 23 days ago","Proficient with writing complex SQL to retrieve data from multiple data sources.
Documents to build test strategy, test cases, and impact analysis.",https://ca.indeed.com/rc/clk?jk=38f925e69eb2a17f&fccid=0da54d88a111f61f&vjs=3
"Consultant, Business Systems Analysis",CIBC,"Toronto, ON","Posted
Posted 3 days ago","You’ll lead complex projects to ensure solutions are aligned to business goals and objectives.
As a Consultant, Business Systems Analysis, you’ll support end-to…",https://ca.indeed.com/rc/clk?jk=0a66d1206960fa60&fccid=f99648405c7e9e3a&vjs=3
Data Scientist/Time Series,Scarsin,"Markham, ON","Posted
Posted 30+ days ago","Proficient in time series analysis and forecasting.
Experience with data preprocessing, anomaly/outlier detection.
Develops production-ready codes in R.",https://ca.indeed.com/rc/clk?jk=e97e7d4b249d30c2&fccid=ca1eb7a6353c159a&vjs=3
Risk Analyst,Citco,"Toronto, ON","Posted
Posted 17 days ago","Perform data analysis and modification/cleaning as necessary.
Perform data entry and first level data validation and ad-hoc reporting as required.",https://ca.indeed.com/rc/clk?jk=afc56918229e6bf2&fccid=58a0b6e7b7d51d7e&vjs=3
"ANALYST, DATA AND ANALYTICS",Ontario Shores Centre for Mental Health Services,"Whitby, ON","Posted
Posted 30+ days ago","O Exceptional communication skills to explain analysis findings and data solutions to organizational leaders, supporting the generation of insights from data.",https://ca.indeed.com/rc/clk?jk=bcf9fcbd96eea419&fccid=74836306b6661050&vjs=3
DATA SCIENTIST,Temetrix,"Ottawa, ON","Posted
Posted 30+ days ago","2+ years practical data science or engineering work experience out of school, in quantitative domains.
Familiarity with technical tools for analysis: Python, R,…",https://ca.indeed.com/rc/clk?jk=1671413c2aaa3011&fccid=6b8274f384c00579&vjs=3
RES O 24R - Senior Data Analyst - Amended,BC Public Service,"Victoria, BC","Posted
Posted 16 days ago","Experience leveraging structured and unstructured data sources to conduct quantitative analysis.
The position undertakes independent professional data analysis…",https://ca.indeed.com/rc/clk?jk=7fe527b9029acb4d&fccid=65dd05622a756445&vjs=3
"Data Analyst, Physiology & Pharmacology, Cumming School of M...",The University of Calgary,"Calgary, AB","Posted
Posted 2 days ago","Courses in database management, regression analysis, multivariate methods, linear models, repeated measures analysis, sample calculation analysis, etc.",https://ca.indeed.com/rc/clk?jk=b6375ce762efbf6f&fccid=73ba4947c3957345&vjs=3
Senior Data Engineer,Mastercard,"Vancouver, BC","Posted
Posted 14 days ago","Intermediate level of data analysis and reporting experience in professional setting.
You are a creative coder with experience building and maintaining data…",https://ca.indeed.com/rc/clk?jk=8837b9da28081539&fccid=10b5c722d846df43&vjs=3
Big Data Engineer,TMX Group Limited,"Toronto, ON","Posted
Posted 16 days ago",Enhance the existing and build new data pipelines to extract & transform data for business users to build data analytics.,https://ca.indeed.com/rc/clk?jk=515f5c5705fb6bfa&fccid=e703782e9a357fad&vjs=3
Research Assistant,University of British Columbia,British Columbia,"Posted
Posted 9 days ago","Maintain research databases, perform data analysis and interpret results.
Design research studies and develop associated proposals with detailed analysis plans.",https://ca.indeed.com/rc/clk?jk=eff378e71ef2576b&fccid=462e6068c17c7702&vjs=3
Data Conversion Developer,University of British Columbia,"Vancouver, BC","Posted
Posted 13 days ago","Experience with data analysis and modeling tools and concepts.
Design robust, highly disciplined and maintainable data migration/conversion processes; build…",https://ca.indeed.com/rc/clk?jk=b5a82e1e3ef5170d&fccid=462e6068c17c7702&vjs=3
Data Scientist - Consultant/ Senior Consultant - Lighthouse,KPMG,"Toronto, ON","Posted
Posted 30+ days ago","Perform quantitative analysis of data issues.
Architect the data platform models for scalability, repeatability and performance to build data solutions.",https://ca.indeed.com/rc/clk?jk=50b9426b69d42a87&fccid=2dd390c3a48a7ed0&vjs=3
Data scientist,Kinsol Research,"Victoria West, PE","Posted
Posted 30+ days ago",Sufficient data warehouse and non-relational data techniques knowledge to work effectively with engineering partners.,https://ca.indeed.com/rc/clk?jk=ef5fd1a09f285488&fccid=98527e77b5e98f7e&vjs=3
Internship opportunities in IT,National Bank of Canada,"Remote in Montréal, QC","Posted
Posted 29 days ago","Work to advance analysis standards and processes and the techniques used.
And offer various types of analyses (functional, data, quality assurance).",https://ca.indeed.com/rc/clk?jk=075aa3ea21259e32&fccid=bb42ba28e525eb20&vjs=3
Data Warehouse Developer,BNP Paribas,"Hybrid remote in Montréal, QC","Posted
Posted 16 days ago","Ability to perform detailed data analysis (i.e. determine the structure, content, and quality of the data through examination of source systems and data samples…",https://ca.indeed.com/rc/clk?jk=a7bdcf4ab8673f1e&fccid=1392500f835bba92&vjs=3
"Scientist I, Data Standardization, Ontologies (Remote)",BenchSci,"Remote in Toronto, ON","Posted
Posted 15 days ago","Help with data analysis projects, including customer-facing data analysis projects.
Help with regular audits of experimental data on the platform to improve…",https://ca.indeed.com/rc/clk?jk=8acd97a288a6a7a8&fccid=cb94cfaf4856cc5b&vjs=3
"Data Analyst, Operations",STEMCELL Technologies,"Vancouver, BC","Posted
Posted 30+ days ago","Develop metrics and queries by data modeling through various tools such as business intelligence software.
Collaborate with various departments that are part of…",https://ca.indeed.com/rc/clk?jk=369931ab3125c3d4&fccid=1495fd2cb143fcaf&vjs=3
Data Visualization Analyst Co-Op,Equifax,"Toronto, ON","Posted
Posted 16 days ago","Analyze data, integrate multiple data sources and generate insights for stakeholders.
This is a great Co-op experience for someone interested in a career in…",https://ca.indeed.com/rc/clk?jk=7eeefa276fd06561&fccid=34c446722f3cf576&vjs=3
